price,area,pricePerM2,date
1.45,68,21.32,2023/04/23
1.33,68,19.56,2023/04/23
2.8,72,38.89,2023/04/23
4,98,40.82,2023/04/23
3.6,87,41.38,2023/04/23
,71,,2023/04/23
3.2,71,45.07,2023/04/23
,72,,2023/04/23
2.49,71,35.07,2023/04/22
4.85,86,56.4,2023/04/22
6.5,150,43.33,2023/04/21
3.65,87,41.95,2023/04/21
3.2,72,44.44,2023/04/21
2.9,71.84,40.37,2023/04/21
2.9,72.8,39.84,2023/04/21
,300,,2023/04/21
4.7,86,54.65,2023/04/21
3.7,70.1,52.78,2023/04/21
3.2,72,44.44,2023/04/20
4.85,86,56.4,Đăng 5 ngày trước